year,date,season,island,birddens,bird,site,survey,tot_webs,time,length,webs10m
2008,29-May-08,dry,Guam,0,no,1000steps,1,104,12:30,20,52
2008,22-May-08,dry,Guam,0,no,ANN,1,19,11:23,20,9.5
2008,22-May-08,dry,Guam,0,no,ANS,1,8,12:51,20,4
2006,24-Jul-06,wet,Rota,5.3,yes,bird_sanctuary,1,2,na,50,0.4
2006,24-Jul-06,wet,Rota,5.3,yes,bird_sanctuary,2,4,9:09,50,0.8
2008,14-May-08,dry,Tinian,14.9,yes,CNT,1,33,9:34,20,16.5
2008,12-May-08,dry,Tinian,14.9,yes,CHIG,1,58,15:15,20,29
2007,8/16/07,wet,Tinian,14.9,yes,CNT,1,4,na,30,1.333333333
2007,8/16/07,wet,Tinian,14.9,yes,CNT,2,2,na,30,0.666666667
2007,8/8/07,wet,Saipan,19.2,yes,FORBI,1,9,8:50,30,3
2007,8/8/07,wet,Saipan,19.2,yes,FORBI,2,2,na,30,0.666666667
2008,21-May-08,dry,Saipan,19.2,yes,FORBI,1,33,10:35,20,16.5
2008,21-May-08,dry,Saipan,19.2,yes,FORBIup,1,28,10:40,20,14
2008,14-May-08,dry,Tinian,14.9,yes,JAPCN,1,13,11:48,20,6.5
2008,14-May-08,dry,Tinian,14.9,yes,JAPCS,2,43,13:10,20,21.5
2007,8/16/07,wet,Tinian,14.9,yes,JAPC,1,6,11:30,30,2
2007,8/16/07,wet,Tinian,14.9,yes,JAPC,2,0,na,30,0
2008,30-Apr-08,dry,Rota,5.3,yes,JCP,1,14,10:41,20,7
2008,30-Apr-08,dry,Rota,5.3,yes,JCP,2,38,15:25,20,19
2008,30-Apr-08,dry,Rota,5.3,yes,JCP,1,19,14:26,20,9.5
2008,21-May-08,dry,Saipan,19.2,yes,LADT,1,5,13:04,20,2.5
2008,21-May-08,dry,Saipan,19.2,yes,LADT,2,14,13:41 (end),20,7
2006,21-Aug-06,wet,Saipan,19.2,yes,LADT,1,0,10:00,50,0
2006,21-Aug-06,wet,Saipan,19.2,yes,LADT,2,1,na,50,0.2
2006,21-Aug-06,wet,Saipan,19.2,yes,LADT,3,1,na,45,0.222222222
2007,7/16/07,wet,Saipan,19.2,yes,LADT,1,0,16:10,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LADT,2,0,8:56,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LADT,3,1,9:17,30,0.333333333
2008,20-May-08,dry,Saipan,19.2,yes,JCP,1,13,12:53,20,6.5
2007,7/17/07,wet,Saipan,19.2,yes,LCP,1,0,10:54,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LCP,2,0,11:25,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LCP,3,0,11:49,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LCP,4,0,12:13,30,0
2007,7/17/07,wet,Saipan,19.2,yes,LCP,5,1,12:30,30,0.333333333
2007,8/16/07,wet,Tinian,14.9,yes,MTLA,1,1,13:50,30,0.333333333
2007,8/16/07,wet,Tinian,14.9,yes,MTLA,2,1,na,30,0.333333333
2008,13-May-08,dry,Tinian,14.9,yes,MTLA,1,7,10:10,20,3.5
2008,13-May-08,dry,Tinian,14.9,yes,MTLA,2,16,14:47,20,8
2008,13-May-08,dry,Tinian,14.9,yes,MTLA,3,19,15:45,20,9.5
2007,7/17/07,wet,Saipan,19.2,yes,MTR1,1,0,13:15,30,0
2007,7/17/07,wet,Saipan,19.2,yes,MTR1,2,0,13:33,30,0
2007,7/17/07,wet,Saipan,19.2,yes,MTR1,3,0,13:56,30,0
2007,7/17/07,wet,Saipan,19.2,yes,MTR1,4,0,14:16,30,0
2007,7/17/07,wet,Saipan,19.2,yes,MTR1,5,1,14:41,30,0.333333333
2007,8/8/07,wet,Saipan,19.2,yes,Naftan,1,2,11:00,30,0.666666667
2007,8/8/07,wet,Saipan,19.2,yes,Naftan,2,1,na,30,0.333333333
2007,9/5/07,wet,Guam,0,no,pagat_cave,1,59,12:45,30,19.66666667
2007,9/5/07,wet,Guam,0,no,pagat_cave,2,104,na,30,34.66666667
2008,28-May-08,dry,Guam,0,no,pagat_cave,1,52,13:04,20,26
2006,5-Aug-06,wet,Guam,0,no,pagat_point,1,22,10:44,50,4.4
2008,29-Apr-08,dry,Rota,5.3,yes,Palii,1,10,14:31,20,5
2008,29-Apr-08,dry,Rota,5.3,yes,Palii,2,11,14:55,20,5.5
2007,8/16/07,wet,Tinian,14.9,yes,Pina,1,3,10:50,30,1
2007,17-Sep-07,wet,Guam,0,no,racetrack,1,45,na,30,15
2007,18-Sep-07,wet,Guam,0,no,racetrack,2,25,na,30,8.333333333
2008,22-May-08,dry,Guam,0,no,RTN,1,42,14:18,20,21
2008,23-May-08,dry,Guam,0,no,RTS,1,79,11:20,20,39.5
2008,28-May-08,dry,Guam,0,no,RTS,2,89,9:30,20,44.5
2007,2-Oct-07,wet,Guam,0,no,RTN,1,37,na,23.2,15.94827586
